idx	gene_id	task_id	system	subsystem	reactions
599	GCLC	93	AMINO ACIDS METABOLISM	GLUTATHIONE METABOLISM	GLUCYS
600	GLUD1	30	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	GLUDxm|GLUDym
601	GLUD1	92	AMINO ACIDS METABOLISM	GLUTAMINE METABOLISM	GLUDxm|GLUDym
602	GLUD1	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	GLUDxm|GLUDym
603	GLUD2	30	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	GLUDxm|GLUDym
604	GLUD2	92	AMINO ACIDS METABOLISM	GLUTAMINE METABOLISM	GLUDxm|GLUDym
605	GLUD2	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	GLUDxm|GLUDym
606	PPAT	9	NUCLEOTIDE METABOLISM	IMP SYNTHESIS / PURINE METABOLISM	GLUPRT
607	PPAT	11	NUCLEOTIDE METABOLISM	IMP SYNTHESIS / PURINE METABOLISM	GLUPRT
608	PPAT	13	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	GLUPRT
609	PPAT	15	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	GLUPRT
610	GCDH	105	AMINO ACIDS METABOLISM	LYSINE METABOLISM	GLUTCOADHm|r0541
611	GATM	69	AMINO ACIDS METABOLISM	ARGININE METABOLISM	GLYAMDTRc
612	GRHPR	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	GLYCLTDy|HPYRRy
613	GNMT	81	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	GNMT
614	GNMT	100	AMINO ACIDS METABOLISM	HOMOCYSTEINE METABOLISM	GNMT
615	GNMT	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	GNMT
616	GPAM	143	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	GPAM_hs
617	GPAM	144	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	GPAM_hs
618	GPAM	145	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	GPAM_hs
619	GPAM	146	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	GPAM_hs
620	GPAM	147	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	GPAM_hs
621	GPAM	148	LIPIDS METABOLISM	TRIACYLGLYCEROL METABOLISM	GPAM_hs
622	GSS	93	AMINO ACIDS METABOLISM	GLUTATHIONE METABOLISM	GTHS
623	HPRT1	19	NUCLEOTIDE METABOLISM	SALVAGE	GUAPRT|HXPRT
624	HPRT1	20	NUCLEOTIDE METABOLISM	SALVAGE	GUAPRT|HXPRT
625	HSD17B10	102	AMINO ACIDS METABOLISM	ISOLEUCINE METABOLISM	HACD1m|HACD9m|r1477|RE0512M|RE1525M|RE1526M|RE1527M|RE3005M
626	HADH	102	AMINO ACIDS METABOLISM	ISOLEUCINE METABOLISM	HACD1m|HACD9m|r0714|r0718|r0722|r0726|r0727|r0730|r0733|r1477|RE0512M|RE1525M|RE1526M|RE1527M|RE3005M|FAOXC101C8m|FAOXC102C81m|FAOXC121C101m|FAOXC122C101m|FAOXC123C102m|FAOXC61C4m|FAOXC81C61m|FAOXTC122TC101m
627	COQ2	178	VITAMIN & COFACTOR METABOLISM	UBIQUINONE 10 BIOSYNTHESIS	HBZOPT10m
628	HK1	45	CARBOHYDRATES METABOLISM	MANNOSE METABOLISM	HEX1|HEX4|HEX7|r0354|r0355|r0357|r0358|r0360|r0361
629	HK1	46	CARBOHYDRATES METABOLISM	MANNOSE METABOLISM	HEX1|HEX4|HEX7|r0354|r0355|r0357|r0358|r0360|r0361
630	HK3	45	CARBOHYDRATES METABOLISM	MANNOSE METABOLISM	HEX1|HEX4|HEX7|r0354|r0355|r0357|r0358|r0360|r0361
631	HK3	46	CARBOHYDRATES METABOLISM	MANNOSE METABOLISM	HEX1|HEX4|HEX7|r0354|r0355|r0357|r0358|r0360|r0361
632	HK2	45	CARBOHYDRATES METABOLISM	MANNOSE METABOLISM	HEX1|HEX4|HEX7|r0354|r0355|r0357|r0358|r0360|r0361
633	HK2	46	CARBOHYDRATES METABOLISM	MANNOSE METABOLISM	HEX1|HEX4|HEX7|r0354|r0355|r0357|r0358|r0360|r0361
634	HGD	134	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	HGNTOR
635	HIBADH	135	AMINO ACIDS METABOLISM	VALINE METABOLISM	HIBDm
636	HIBADH	136	AMINO ACIDS METABOLISM	VALINE METABOLISM	HIBDm
637	HAL	97	AMINO ACIDS METABOLISM	HISTIDINE METABOLISM	HISD
638	HAL	98	AMINO ACIDS METABOLISM	HISTIDINE METABOLISM	HISD
639	HDC	99	AMINO ACIDS METABOLISM	HISTIDINE METABOLISM	HISDC
640	KYNU	123	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	HKYNH|KYN|LFORKYNHYD
641	KYNU	124	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	HKYNH|KYN|LFORKYNHYD
