idx	gene_id	task_id	system	subsystem	reactions
800	PHGDH	94	AMINO ACIDS METABOLISM	GLYCINE METABOLISM	PGCD
801	PHGDH	113	AMINO ACIDS METABOLISM	SERINE METABOLISM	PGCD
802	PTPMT1	147	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	PGPP_hs
803	PGS1	147	LIPIDS METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	PGPPT
804	PTGS2	171	LIPIDS METABOLISM	EICOSANOID METABOLISM	PGS|PGSr
805	PTGS1	171	LIPIDS METABOLISM	EICOSANOID METABOLISM	PGS|PGSr
806	PAH	115	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	PHETHPTOX2|r0399
807	PAH	118	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	PHETHPTOX2|r0399
808	PMVK	141	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	PMEVKx|PMEVKc
809	PANK1	177	VITAMIN & COFACTOR METABOLISM	COENZYME A BIOSYNTHESIS	PNTK|r0578|r0579|r0679|r0680
810	PANK2	177	VITAMIN & COFACTOR METABOLISM	COENZYME A BIOSYNTHESIS	PNTK|r0578|r0579|r0679|r0680
811	PANK4	177	VITAMIN & COFACTOR METABOLISM	COENZYME A BIOSYNTHESIS	PNTK|r0578|r0579|r0679|r0680
812	PANK3	177	VITAMIN & COFACTOR METABOLISM	COENZYME A BIOSYNTHESIS	PNTK|r0578|r0579|r0679|r0680
813	ALAD	182	VITAMIN & COFACTOR METABOLISM	HEME METABOLISM	PPBNGS
814	PPCS	177	VITAMIN & COFACTOR METABOLISM	COENZYME A BIOSYNTHESIS	PPNCL3|r0671
815	PPOX	182	VITAMIN & COFACTOR METABOLISM	HEME METABOLISM	PPPGOm
816	PFAS	9	NUCLEOTIDE METABOLISM	IMP SYNTHESIS / PURINE METABOLISM	PRFGS
817	PFAS	11	NUCLEOTIDE METABOLISM	IMP SYNTHESIS / PURINE METABOLISM	PRFGS
818	PFAS	13	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	PRFGS
